full_species,species,id,px_cm
cataractarum,cata,151,62
cataractarum,cata,1383,76
cataractarum,cata,1422,75
cataractarum,cata,2614,58
cataractarum,cata,3565,85
cataractarum,cata,3585,66
cataractarum,cata,4265,63
cataractarum,cata,13277,88
cataractarum,cata,288464,140
cataractarum,cata,1773994,140
cataractarum,cata,2171745,140
cataractarum,cata,2171746,140
cataractarum,cata,2253071,140
cataractarum,cata,2458022,140
cataractarum,cata,2690426,136
cataractarum,cata,2690427,137
cataractarum,cata,2969895,140
cataractarum,cata,2969896,140
cataractarum,cata,3108061,140
cataractarum,cata,BR0000006997533,160
cataractarum,cata,L3784047,36
cataractarum,cata,P05483127,114
cataractarum,cata,U1284837,36
cataractarum,cata,V0055630F,50
cataractarum,cata,V0268796F,50
cataractarum,cata,V0268797F,58
cataractarum,cata,V0268798F,50
cataractarum,cata,V0268799F,50
cataractarum,cata,V0268801F,50
cataractarum,cata,V0268802F,50
cataractarum,cata,V0268804F,50
cataractarum,cata,V0268806F,50
cataractarum,cata,V0268807F,50
cataractarum,cata,V0268809F,50
cataractarum,cata,V0268810F,50
cataractarum,cata,V0268811F,50
cataractarum,cata,V0268812F,50
cataractarum,cata,V0268813F,50
cataractarum,cata,V0268816F,50
cataractarum,cata,V0268817F,50
cataractarum,cata,V0268818F,50
cataractarum,cata,V0268819F,50
cataractarum,cata,V0268823F,50
cataractarum,cata,V0272206F,50
cataractarum,cata,V0471772F,50
cataractarum,cata,V0471774F,50
cataractarum,cata,V0471775F,50
cataractarum,cata,V0471777F,50
foetidum,foet,13505,135
foetidum,foet,13512,140
foetidum,foet,15072,64
foetidum,foet,1863255,60
foetidum,foet,1932921,60
foetidum,foet,2713682,150
foetidum,foet,P05576148,114
foetidum,foet,V0269780F,50
foetidum,foet,V0269781F,50
foetidum,foet,V0269784F,50
foetidum,foet,V0269789F,50
foetidum,foet,V0269793F,50
foetidum,foet,V0269795F,50
foetidum,foet,V0471791F,50
foetidum,foet,VEN118524,30
foetidum,foet,VEN153973,30
gracilipes,grac,243,76
gracilipes,grac,2203,126
gracilipes,grac,2345,84
gracilipes,grac,2573,133
gracilipes,grac,2647,58
gracilipes,grac,3146,64
gracilipes,grac,6471,80
gracilipes,grac,6957,80
gracilipes,grac,7626,58
gracilipes,grac,12621,120
gracilipes,grac,13303,53
gracilipes,grac,627635,50
gracilipes,grac,690935,50
gracilipes,grac,699762,152
gracilipes,grac,1075681,118
gracilipes,grac,1193612,50
gracilipes,grac,1241355,50
gracilipes,grac,1365541,50
gracilipes,grac,1756398,50
gracilipes,grac,1757602,50
gracilipes,grac,1758849,50
gracilipes,grac,1774905,50
gracilipes,grac,1842755,50
gracilipes,grac,1845849,50
gracilipes,grac,1850299,50
gracilipes,grac,1858321,50
gracilipes,grac,1867926,50
gracilipes,grac,1873324,50
gracilipes,grac,1875165,50
gracilipes,grac,1895285,50
gracilipes,grac,1895311,50
gracilipes,grac,1919610,50
gracilipes,grac,1953854,50
gracilipes,grac,1959876,50
gracilipes,grac,1959877,50
gracilipes,grac,1962342,50
gracilipes,grac,1964689,50
gracilipes,grac,1965889,50
gracilipes,grac,1965890,50
gracilipes,grac,1975330,50
gracilipes,grac,1982323,50
gracilipes,grac,1982366,50
gracilipes,grac,1984265,50
gracilipes,grac,1984271,50
gracilipes,grac,1985367,50
gracilipes,grac,1992274,50
gracilipes,grac,1993755,50
gracilipes,grac,2155567,50
gracilipes,grac,2171837,122
gracilipes,grac,2171839,120
gracilipes,grac,2171840,120
gracilipes,grac,2175394,121
gracilipes,grac,2198674,50
gracilipes,grac,2198675,50
gracilipes,grac,2198676,50
gracilipes,grac,2198678,50
gracilipes,grac,2198679,50
gracilipes,grac,2211291,50
gracilipes,grac,2295279,50
gracilipes,grac,2318236,118
gracilipes,grac,2318474,118
gracilipes,grac,2320258,33
gracilipes,grac,2321133,118
gracilipes,grac,2324350,16
gracilipes,grac,2324352,50
gracilipes,grac,2324355,50
gracilipes,grac,2324356,50
gracilipes,grac,2772840,112
gracilipes,grac,2817844,118
gracilipes,grac,2817863,119
gracilipes,grac,2864560,140
gracilipes,grac,5947157,140
gracilipes,grac,6326091,147
gracilipes,grac,ASU0032976,40
gracilipes,grac,BC624069,144
gracilipes,grac,291,68
gracilipes,grac,3725,90
gracilipes,grac,3068,70
gracilipes,grac,6003,83
gracilipes,grac,P00723632,95
gracilipes,grac,P05483189,114
gracilipes,grac,U0105998,36
gracilipes,grac,U0106346,36
gracilipes,grac,U0106347,36
gracilipes,grac,W0018333,36
gracilipes,grac,W18890163289,36
lineolatum,line,2714,133.6
lineolatum,line,2734,134
lineolatum,line,4736,136
lineolatum,line,23337,129
